Actors,Awards,Box_Office,DVD,Director,Genre,IMDB_ID,IMDB_Rating,IMDB_votes,Language,MetaCritic,Movie,Plot,Production,Rated,Released,Rotten Tomatoes,Runtime,Type,Website,Writers,Year
"Shah Rukh Khan, Anushka Sharma, Björn Freiberg, Martavious Gayles",2 nominations.,"$1,284,740",N/A,Imtiaz Ali,"Comedy, Drama, Romance",tt5997666,5.5,"14,503",Hindi,N/A,Jab Harry met Sejal,A depressed middle-aged tour guide who lives in his own bubble gets another chance to experience and face reality through a chirpy girl.,Yash Raj Films USA,N/A,04 Aug 2017,17%,143 min,movie,N/A,Imtiaz Ali,2017
"Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia",22 wins & 12 nominations.,N/A,N/A,S.S. Rajamouli,"Action, Drama, Fantasy",tt2631186,8.2,"85,003","Telugu, Tamil, Hindi",N/A,Baahubali: The Beginning,"In ancient India, an adventurous and daring man becomes involved in a decades old feud between two warring people.",Arka Media Works,NOT RATED,09 Jul 2015,92%,159 min,movie,http://baahubali.com/,"Vijayendra Prasad (story by), S.S. Rajamouli (screenplay by), C.H. Vijay Kumar (telugu dialogue), Ajay Kumar (telugu dialogue), Madhan Karky (tamil dialogue), Manoj Muntashir (hindi dialogue)",2015
"Irrfan Khan, Nimrat Kaur, Nawazuddin Siddiqui, Lillete Dubey",Nominated for 1 BAFTA Film Award. Another 29 wins & 35 nominations.,"$4,231,500",01 Jul 2014,Ritesh Batra,"Drama, Romance",tt2350496,7.8,"39,184","Hindi, English",76,The Lunchbox,A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.,Sony Pictures Classics,PG,20 Sep 2013,96%,104 min,movie,http://www.cinemosaic.net/films/dabba.html,"Ritesh Batra (screenplay), Vasan Bala (hindi dialogue consultant)",2013
"Ajay Devgn, Saurabh Shukla, Ileana D'Cruz, Amit Sial",N/A,N/A,N/A,Raj Kumar Gupta,"Action, Crime, Drama",tt7363076,8.0,"2,016",Hindi,N/A,Raid,A fearless income tax officer raids the mansion of the most powerful man in Lucknow after someone mysteriously draws his attention towards the evidence.,Panorama Studios,NOT RATED,16 Mar 2018,71%,128 min,movie,https://www.facebook.com/RaidTheFilm,Ritesh Shah,2018
"Sarah Wayne Callies, Jeremy Sisto, Sofia Rosinsky, Logan Creran",2 wins & 3 nominations.,N/A,07 Jun 2016,Johannes Roberts,Horror,tt3702652,5.3,"14,684","English, Hindi, Sanskrit",41,The Other Side of the Door,"After her young son is killed in a tragic accident, a woman learns of a ritual which will bring him back to say goodbye, but when she disobeys a sacred warning, she upsets the balance between life and death.",N/A,R,04 Mar 2016,37%,96 min,movie,N/A,"Johannes Roberts, Ernest Riera",2016
"Kareena Kapoor, Sonam Kapoor, Swara Bhaskar, Shikha Talsania",N/A,N/A,N/A,Shashanka Ghosh,Comedy,tt5842616,N/A,N/A,Hindi,N/A,Veere Di Wedding,N/A,N/A,N/A,N/A,,N/A,movie,N/A,N/A,2017
"Tapsee Pannu, Kirti Kulhari, Andrea Tariang, Amitabh Bachchan",8 wins & 7 nominations.,N/A,N/A,Aniruddha Roy Chowdhury,Drama,tt5571734,8.2,"26,684","Hindi, English",N/A,Pink,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.",NH Studioz,NOT RATED,16 Sep 2016,100%,136 min,movie,N/A,"Shoojit Sircar (story), Aniruddha Roy Chowdhury (story), Ritesh Shah (story), Ritesh Shah (dialogue), Ritesh Shah (screenplay)",2016
"Victor Banerjee, Adil Hussain, Bhanu Uday, Preeti Gupta",2 nominations.,N/A,N/A,Raj Amit Kumar,"Crime, Drama, Romance",tt2049630,6.5,"1,518","English, Hindi",24,Unfreedom,"A society is torn apart by political, religious, and sexual turmoil.",Dark Frames,NOT RATED,29 May 2015,0%,102 min,movie,http://www.unfreedommovie.com/,"Damon J. Taylor (screenplay), Raj Amit Kumar (screenplay), Raj Amit Kumar (story), Adam Davis (script contribution), Kamran Iqbal (script contribution)",2014
"Akshay Kumar, Radhika Apte, Sonam Kapoor, Saurabh Agarwal",N/A,N/A,N/A,R. Balki,"Biography, Comedy, Drama",tt7218518,8.4,"5,562",Hindi,N/A,Padman,"Upon realizing the extent to which women are affected by their menses, a man sets out to create a sanitary pad machine and to provide inexpensive sanitary pads to the women of rural India.",N/A,PG-13,09 Feb 2018,,140 min,movie,N/A,"R. Balki, Swanand Kirkire",2018
"Ranveer Singh, Priyanka Chopra, Deepika Padukone, Tanvi Azmi",29 wins & 11 nominations.,"$6,557,047",N/A,Sanjay Leela Bhansali,"Action, Drama, History",tt3735246,7.2,"24,949",Hindi,N/A,Bajirao Mastani,"An account of the romance between the Maratha general, Baji Rao I and Mastani, princess of Bundelkhand.",SLB Films,NOT RATED,18 Dec 2015,67%,158 min,movie,N/A,"Nagnath S. Inamdar (novel), Sanjay Leela Bhansali (additional writer), Prakash Kapadia",2015
"Rajkummar Rao, Mohammed Zeeshan Ayyub, Baljinder Kaur, Tigmanshu Dhulia",9 wins & 7 nominations.,N/A,02 Dec 2013,Hansal Mehta,"Biography, Crime, Drama",tt2181831,8.3,"9,874","Hindi, Hindi",N/A,Shahid,"The account of Human Rights lawyer Shahid Azmi, an ordinary citizen with an extraordinary commitment to justice.",UTV,NOT RATED,18 Oct 2013,,129 min,movie,https://www.facebook.com/pages/SHAHID/248590485258319?ref=hl,"Sameer Gautam Singh (screenplay), Sameer Gautam Singh, Sameer Gautam Singh (story), Hansal Mehta (screenplay), Hansal Mehta (story)",2012
"Akshay Kumar, Nimrat Kaur, Kumud Mishra, Prakash Belawadi",2 nominations.,"$168,391",N/A,Raja Menon,"Action, Drama, History",tt4387040,8.1,"43,663","Hindi, Malayalam, Arabic",N/A,Airlift,"When Iraq invades Kuwait in August, 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",Alchemy,NOT RATED,22 Jan 2016,90%,130 min,movie,N/A,"Raja Menon (story), Ritesh Shah (screenplay), Suresh Nair (screenplay), Raja Menon (screenplay), Rahul Nangia (screenplay), Ritesh Shah (dialogue)",2016
"Vidya Balan, Parambrata Chatterjee, Dhritiman Chatterjee, Saswata Chatterjee",16 wins & 12 nominations.,"$1,030,219",31 Jul 2012,Sujoy Ghosh,"Mystery, Thriller",tt1821480,8.2,"46,853","Hindi, Bengali, English",N/A,Kahaani,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.",Viacom 18 Motion Pictures & Pen India,NOT RATED,09 Mar 2012,,122 min,movie,http://www.kahaanithefilm.com/,"Sujoy Ghosh (dialogue), Sujoy Ghosh (screenplay), Sujoy Ghosh (story), Advaita Kala (story), Suresh Nair (additional screenplay), Ritesh Shah (dialogue), Sutapa Sikdar (dialogue), Nikhil Vyas (additional screenplay)",2012
"Rahul Bhat, Ronit Roy, Tejaswini Kolhapure, Vineet Kumar Singh",3 wins & 10 nominations.,N/A,N/A,Anurag Kashyap,"Crime, Drama, Mystery",tt2882328,8.1,"14,077",Hindi,N/A,Ugly,The case of a missing girl takes us through a journey of human greed and brushes upon the egos and repressed emotions of the characters.,Phantom Films,N/A,26 Dec 2014,63%,128 min,movie,N/A,"Akhilesh Jaiswal (additional writer), Anurag Kashyap, Rohit Pandey (additional writer)",2013
"Deepika Padukone, Ranbir Kapoor, Piyush Mishra, Javed Sheikh",2 wins & 3 nominations.,N/A,N/A,Imtiaz Ali,"Comedy, Drama, Romance",tt3148502,7.2,"17,021",Hindi,N/A,Tamasha,Tamasha is about the journey of someone who has lost his edge in trying to follow socially acceptable conventions of society. The film is based on the central theme of abrasion and loss of ...,UTV Communications,N/A,27 Nov 2015,55%,139 min,movie,N/A,Imtiaz Ali,2015
"Salman Khan, Anushka Sharma Kohli, Marko Zaror, Randeep Hooda",6 wins & 9 nominations.,"$5,248,781",N/A,Ali Abbas Zafar,"Action, Drama, Family",tt4832640,7.1,"29,530",Hindi,N/A,Sultan,"Sultan is a classic underdog tale about a wrestler's journey, looking for a comeback by defeating all odds. Will he emerge victorious?",Yash Raj Films,NOT RATED,06 Jul 2016,89%,170 min,movie,N/A,Ali Abbas Zafar,2016
"Ranbir Kapoor, Priyanka Chopra, Ileana D'Cruz, Saurabh Shukla",35 wins & 21 nominations.,"$2,804,874",20 Nov 2012,Anurag Basu,"Adventure, Comedy, Drama",tt2082197,8.1,"63,048",Hindi,N/A,Barfi!,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.,UTV Communications,NOT RATED,14 Sep 2012,92%,151 min,movie,http://https://www.facebook.com/UTVMotionPictures,"Anurag Basu (story and screenplay), Tani Basu (story and screenplay), Sanjeev Dutta (dialogue)",2012
"Saif Ali Khan, Padmapriya, Dhanish Karthik, Ram Gopal Bajaj",1 nomination.,N/A,N/A,Raja Menon,"Comedy, Drama, Family",tt5745450,5.5,"1,171",Hindi,N/A,Chef,Chef Roshan Kalra sets out to find the true source of happiness and reignite his passion for food while being more present in his son's life.,B4U Films,NOT RATED,06 Oct 2017,,133 min,movie,N/A,"Jon Favreau (original story), Ritesh Shah (adapted by), Suresh Nair (adapted by), Raja Menon (adapted by)",2017
"Ranbir Kapoor, Nargis Fakhri, Shammi Kapoor, Kumud Mishra",17 wins & 11 nominations.,"$985,912",26 Mar 2012,Imtiaz Ali,"Drama, Music, Musical",tt1839596,7.6,"31,247",Hindi,N/A,Rockstar,"Janardhan Jakhar chases his dreams of becoming a big Rock star, during which he falls in love with Heer.",Eros International,NOT RATED,11 Nov 2011,,159 min,movie,http://www.rockstarthefilm.com/,"Imtiaz Ali, Muazzam Beg",2011
