Actors,Awards,Box_Office,DVD,Director,Genre,IMDB_ID,IMDB_Rating,IMDB_votes,Language,MetaCritic,Movie,Plot,Production,Rated,Released,Rotten Tomatoes,Runtime,Type,Website,Writers,Year
"Arjun Kapoor, Alia Bhatt, Amrita Singh, Revathy",1 win & 21 nominations.,N/A,N/A,Abhishek Varman,"Comedy, Drama, Romance",tt2372678,6.9,"20,473",Hindi,N/A,2 States,This movie chronicles how Chetan met his wife and the difficulties they faced due to their cultural differences.,UTV Motion Pictures,NOT RATED,18 Apr 2014,,149 min,movie,http://www.2states.net/,"Chetan Bhagat (story), Abhishek Varman (screenplay), Hussain Dalal (dialogue)",2014
"Sidharth Malhotra, Riteish Deshmukh, Shraddha Kapoor, Shaad Randhawa",7 wins & 8 nominations.,"$414,116",N/A,Mohit Suri,"Action, Crime, Drama",tt3175038,6.4,"13,105",Hindi,N/A,Ek Villain,"When his lover becomes the latest victim of a serial killer, Guru blurs the line between good and evil in his pursuit of revenge.",Eros Entertainment,N/A,27 Jun 2014,,129 min,movie,https://www.facebook.com/ekvillain,"Tushar Hiranandani, Milap Zaveri (dialogue)",2014
"Ranveer Singh, Arjun Kapoor, Priyanka Chopra, Irrfan Khan",1 win & 4 nominations.,"$413,482",N/A,Ali Abbas Zafar,"Action, Drama, Romance",tt2574698,2.1,"55,164","Hindi, Bengali",N/A,Gunday,"The lives of Calcutta's most powerful Gunday - Bikram and Bala, changes when Nandita enters it. Then a counter-force takes charge and a thriller unfolds.",Yash Raj Films,NOT RATED,14 Feb 2014,80%,152 min,movie,http://www.yashrajfilms.com/,"Ali Abbas Zafar, Sanjay Masoom (additional dialogue)",2014
"Dhanush, Sonam Kapoor, Mohammed Zeeshan Ayyub, Swara Bhaskar",7 wins & 32 nominations.,"$875,051",N/A,Anand L. Rai,"Drama, Romance",tt2359810,7.6,"24,132","Hindi, Tamil",N/A,Raanjhanaa,"Kundan, the son of a Hindu pundit, discovers that his childhood sweetheart Zoya loves city-bred Akram and wants to marry him. However, he persistently seeks to win her heart.",Eros Enteertainment,NOT RATED,21 Jun 2013,,140 min,movie,https://www.facebook.com/RaanjhanaaTheFilm,Himanshu Sharma,2013
,,,,,,,,,,,,,,,,,,,,,
"Allu Arjun, Aadhi, Rakul Preet Singh, Catherine Tresa",3 nominations.,N/A,N/A,Boyapati Srinu,"Action, Drama",tt5457772,6.3,"2,290","Hindi, Telugu",N/A,Sarrainodu,An intense battle breaks out between an evil son of a politician and an ex army man who can't tolerate injustice.,N/A,N/A,22 Apr 2016,,159 min,movie,N/A,"M. Rathnam, Boyapati Srinu",2016
"Akshay Kumar, Jackie Shroff, Sidharth Malhotra, Jacqueline Fernandez",N/A,N/A,N/A,Karan Malhotra,"Action, Drama, Sport",tt3802576,6.8,"9,951","Hindi, English",N/A,Brothers,"Two estranged, street-fighting brothers square off against each other in a mixed martial arts tournament.",N/A,NOT RATED,14 Aug 2015,,156 min,movie,N/A,"Gavin O'Connor (original story), Cliff Dorfman (original story), Ekta Pathak Malhotra (adapted screenplay), Siddharth (dialogue), Garima (dialogue), Anthony Tambakis (orignal story)",2015
"Ram Kapoor, Sunny Leone, Evelyn Sharma, Navdeep Chhabra",N/A,N/A,N/A,Devang Dholakia,"Comedy, Drama",tt4272420,2.6,608,Hindi,N/A,Kuch Kuch Locha Hai,"A middle-aged Gujrati businessman puts on a charade after a famous film actress asks to move in with him, in preparation for a movie role.",Magic Picture and Entertainment,N/A,08 May 2015,,143 min,movie,N/A,N/A,2015
"Tapsee Pannu, Akshay Kumar, Manoj Bajpayee, Taher Shabbir",1 win & 1 nomination.,N/A,N/A,Shivam Nair,"Action, Adventure, Thriller",tt6170954,6.3,"3,515",Hindi,N/A,Naam Shabana,"This Spin-off from Baby (2015) provides the back-story of intelligence agent Shabana, and chronicles how she becomes a spy.",Reliance Entertainment,N/A,31 Mar 2017,40%,147 min,movie,https://www.facebook.com/RelianceEntertainment/,"Neeraj Pandey, Rajshri Sudhakar (Dialogue Writer: Telugu)",2017
"Sudeep, Nani, Samantha Ruth Prabhu, Hamsa Nandini",41 wins & 25 nominations.,N/A,N/A,"S.S. Rajamouli, J.V.V. Sathyanarayana(co-director)","Action, Comedy, Fantasy",tt2258337,7.8,"16,795","Telugu, Tamil, Hindi, Malayalam, Chinese, Urdu, Thai, Japanese, Portuguese",N/A,Eega,A murdered man is reincarnated as a housefly and seeks to avenge his death.,Ficus,N/A,05 Jul 2012,,145 min,movie,N/A,"Ashwin Gangaraju (associate head writer), S.S. Kanchi (story treatment), Janardhan Maharshi (dialogue), Crazy Mohan (dialogue), Vijayendra Prasad (ideas of), S.S. Rajamouli (story & screenplay), S.S. Rajamouli",2012
